X	Y	 c	 c	nu	sigmaLikelihood
0	0	19.401530287870404	-0.00071591167899034969	30.037861384822328	0.044248209863332839	0.86582108332817342
0	1	22.505696122536055	-0.015882414620610449	-77.245010864275869	0.18083656541949397	0.90271624191884103
0	2	26.505072119296582	-0.026220565752837405	525.85598230208973	0.30452611709503324	0.9584220599536607
0	3	32.889338090861798	-0.030828380421997148	-229.11108379512498	0.03747001908491588	0.97729637683443327
0	4	31.377572466262624	-0.014920829862349272	-238.15515340311407	0.09410254033223435	0.95448228090172671
0	5	24.465413041559447	0.019731025680389987	199.52887120136549	0.32617977574518453	0.93920465664014552
0	6	16.310209038005432	0.084063586759117653	421.44087410088599	0.044266266372749066	0.95495651385977209
0	7	20.087479181994006	0.11561746068892603	29.17078482139074	0.015628641700770454	0.93168934794963276
0	8	24.943846931569929	0.13329169634020957	-173.33758617134404	0.048919696345528736	0.85284263608934852
0	9	25.326901950383832	0.14572103916310022	334.58784769607291	0.047178004121658408	0.83720142883145399
1	0	19.78557069248037	-0.024373551768984165	258.1492396966953	0.11754147859590351	0.90692118034345814
1	1	18.595034475892721	-0.022187985381164163	121.97350093276719	0.19443030095481614	0.93652327089121878
1	2	21.861999518889057	-0.015706070130229011	74.509816022561452	0.03031772273108968	0.96270021935396111
1	3	31.742182369706821	-0.021212309379991842	-300.46589226628555	0.22285932390559371	0.97119529653570513
1	4	37.487832606070967	-0.0096178096125989626	-256.50913242043788	0.26547291160209824	0.97542660122055158
1	5	33.712006927404126	0.039355080703656294	125.70988358125835	0.31973320859363125	0.97031882467600317
1	6	28.51007513779259	0.11410605367701027	245.18758536181852	0.047138970616660704	0.97740403860177771
1	7	30.224478251940688	0.15532668849365394	7.6161985603180451	0.10221527902460709	0.92113988245320499
1	8	39.429683187072754	0.14537817595882097	94.878266011065179	0.10039399285743007	0.78358252298602271
1	9	36.105510377081998	0.15020638372958159	-12.062097572961566	0.029906263977430778	0.77628452898346589
2	0	15.403530652661946	-0.023274441475424373	432.52898226608039	0.085232817331693009	0.95430167370427155
