X	Y	 a	 b	Likelihood
0	0	20.555082181810509	-0.0033119291310294164	0.86588087632697974
0	1	12.026746746282418	0.025862595895542018	0.88992947833286296
0	2	28.364228784929651	-0.03247032047021671	0.95803523848055849
0	3	31.97053531029254	-0.028171162907408155	0.97738048258261934
0	4	27.409806179399556	-0.0011031973412283097	0.95258037501662995
0	5	24.661353893268398	0.018258289502538379	0.93919178624390831
0	6	17.004726884287091	0.082289024805274794	0.95490411802771669
0	7	38.938488243829596	0.035928149961902946	0.88262413539436047
0	8	25.710410843872843	0.13039101064699946	0.85300316255787878
0	9	25.689149628736583	0.14515962700765481	0.83722273984694429
1	0	17.625606921599289	-0.0170942628306478	0.90792840246240836
1	1	17.942354686344807	-0.019937049199947168	0.93654585796850542
1	2	21.956985845525463	-0.019240517746502962	0.96286858961582844
1	3	31.807321208794704	-0.021265454289805939	0.97117771185390434
1	4	5.4489864017844738	0.11937944212419621	0.86223422736756516
1	5	34.40189125851154	0.03781636348249183	0.97040735283243496
1	6	30.331491957503921	0.10889984507616265	0.97679193045586099
1	7	32.348253662368492	0.1456649590583266	0.92146220975281445
1	8	38.288477483051771	0.15088478729693963	0.78341367349566937
1	9	36.726406460824691	0.14776357251362324	0.77630197256501277
2	0	15.572111108013544	-0.024843468696189322	0.95431354013806313
2	1	17.978618044458887	-0.02723936304896668	0.96633922210298351
2	2	23.790427649545244	-0.028158515541673812	0.96762558204584659
2	3	34.194428895933321	-0.027120640478881124	0.94536705046305392
2	4	37.508870374426834	0.0080546585942916499	0.91967938179329245
2	5	32.197401172506616	0.081322443978427916	0.90704076348986884
2	6	29.694693004051441	0.14948181367128063	0.90295551163673915
2	7	36.262566743808542	0.16389944026225395	0.87182361552314991
2	8	41.562436576261447	0.15714374432194722	0.80395773008324134
2	9	41.556644085946154	0.13145460094375935	0.77282320904390345
3	0	18.66382351728738	-0.041320717918897562	0.96823367290650242
3	1	22.896358232564978	-0.048730160143965043	0.9757554065124181
3	2	30.726107480434141	-0.056691763434263277	0.97557431034476116
3	3	39.383926677384402	-0.052540095175157231	0.9558587745373115
3	4	40.225934615842711	-0.012010634348845355	0.92196932637026907
3	5	33.270901397139696	0.06985848358179178	0.89353978222601804
3	6	31.974905440716068	0.12086328625945514	0.85927152534817064
3	7	36.582070554583055	0.12980006745929634	0.85329468958261667
3	8	39.710227320013033	0.12600543179496035	0.88597379881276028
3	9	41.241833550583401	0.096738969248546552	0.87056187598001111
4	0	20.831170751987244	-0.054431261678046419	0.96738650578335472
4	1	23.18594609485832	-0.054298902443034813	0.98216965618462937
4	2	34.906295208872109	-0.07884696939705016	0.97519327718208138
4	3	46.513461005616307	-0.091081423453258564	0.92028762426492583
4	4	54.252350519591296	-0.081081465856547463	0.87073523593071023
4	5	55.275588039741685	-0.042502012509052015	0.86735554102304224
4	6	56.288316795624588	-0.023423748945774044	0.83650024314969607
4	7	51.540049381139291	0.0057406709214204345	0.83851342203347701
4	8	47.28103451588116	0.025011324234571017	0.91104585729238396
4	9	40.288706867787113	0.033942843122714048	0.93832551649990925
5	0	17.120299459603117	-0.044530937744759649	0.97433903893404661
5	1	21.562330551945116	-0.051640163951935186	0.98245538037390256
5	2	-2.3766029996283895	0.067084004184438398	0.81899681788375933
5	3	48.072132677971069	-0.11297402198741022	0.84448874927164508
5	4	64.773874550280027	-0.14892618340873914	0.75906675065794715
5	5	75.456890912739226	-0.16346968840518883	0.73736300243940434
5	6	76.566428835092253	-0.15292690515930829	0.74756989557710007
5	7	68.104198805942687	-0.11972307955445884	0.7907532497282217
5	8	56.300682906014529	-0.07152822371403407	0.85674792310068737
5	9	44.49974258665322	-0.031051731825635802	0.89034802726138496
6	0	10.952347516254434	-0.022850563389627515	0.98702370744650636
6	1	17.634000462234468	-0.042083964917773033	0.98077700892667197
6	2	24.620916100940786	-0.057300028237171154	0.94351481199533005
6	3	41.223766337337032	-0.10786965356035137	0.87387717541954157
6	4	33.757091045080173	-0.06517799071423272	0.72991605708925522
6	5	54.62563836834547	-0.12817769021522948	0.68212652773699634
6	6	80.049880128276186	-0.2127284695865774	0.7032273116924479
6	7	72.040838988526403	-0.17299584195937637	0.75363418618325861
6	8	59.263912949240108	-0.11623481686087907	0.80114753262400051
6	9	45.220150590175635	-0.051109322287408117	0.82303285020835204
7	0	8.4996739189097976	-0.015260713625961875	0.99144570784806185
7	1	11.880806278677476	-0.024880668335365036	0.98614996465168869
7	2	15.085275160705592	-0.037037151763581362	0.96169230472383604
7	3	30.594347053440988	-0.084243873826352414	0.91585341262528708
7	4	44.965289932971189	-0.12941585503315553	0.84452547790428367
7	5	61.180475947594886	-0.18177737766270216	0.77619080966333553
7	6	66.37396640620031	-0.187436468280746	0.74354580410690529
7	7	64.694180443941377	-0.16347344920795381	0.73995947503343706
7	8	61.180852019914404	-0.12603742805182333	0.74925470810734418
7	9	50.401315110311096	-0.056364565899701041	0.83265226927466462
8	0	7.3887728858329744	-0.015999349609748081	0.99098061622252909
8	1	10.782523527814217	-0.025563143771637716	0.98226426213860407
8	2	7.2442389562954714	-0.011449774173303076	0.94748428888784686
8	3	26.157022766763532	-0.078404980030531451	0.91806396605141727
8	4	39.195265767266051	-0.12338659808997002	0.87454952201724678
8	5	50.084241501383076	-0.15409905920906258	0.83962881988804483
8	6	41.986610042795093	-0.10641820419871317	0.81057089934661064
8	7	58.995566585943138	-0.14278075605475071	0.79396468671832832
8	8	67.001024087599021	-0.13097710744768493	0.7935156440787039
8	9	69.580264172584009	-0.091375867754434681	0.88975030865071469
9	0	5.8991200218818491	-0.013180483779640345	0.99331787715533804
9	1	-3.8161270753848893	0.027187080390549307	0.96670321703778206
9	2	17.414541406527487	-0.04985958154223042	0.96920658547332283
9	3	24.682171073203889	-0.076108482154223653	0.9393249464406036
9	4	33.575916465627245	-0.10578257491885457	0.91084340659290486
9	5	40.518880523117865	-0.12290689244874341	0.89059547008425299
9	6	46.342083502320641	-0.12675336265347753	0.87120424274324293
9	7	18.048782389179905	0.040486054298760038	0.68891446111715382
9	8	71.153841446209228	-0.13182273081587789	0.85404514521111985
9	9	83.422316628797674	-0.1131722420410087	0.86556126333714112
