X	Y	 f	 g	h	n	t0	Likelihood
0	0	21.546303585124907	-0.0061808391533115931	62.826904497048737	215.7624601820207	1644.5512804038106	0.86576579122210873
0	1	-88.230346692157113	-0.015356967283032742	55.182579429541271	31.870234027495989	-278.38167762049557	0.90273339864442781
0	2	-45.015438958601273	-0.024174123664773506	35.615003524722106	8.4895970418009234	-54.194321474565633	0.95837824600475452
0	3	41.283076524778025	-0.0017231887148689354	-8.475576268836857	58.168947343800511	159.35225547388544	0.97760864371876621
0	4	0.5181389856631512	0.11445642634127981	-269.62404586126502	-151.41820554007512	-225.79343309873181	0.8460201585086673
0	5	32.538286073983159	0.085191921807400497	-13.166910922932137	53.58986038188867	154.96121393020749	0.96217311574112152
0	6	27.197476567392293	0.032944636997522786	6.3048250478075332	63.06289831893335	273.11927555488722	0.97168738677343025
0	7	24.659186945361046	0.063095422394902539	9.3873198113418574	76.288631898561661	261.15119054765051	0.94440109753745882
0	8	-84.355952505282943	0.13141227426203886	54.762510069516779	192.83789986303174	-472.75691076777423	0.8528328785593231
0	9	4.60687098419102	0.058099357377074667	23.24887336848542	81.100709405003329	148.60398936747444	0.93297313233201373
1	0	16.863003399615497	-0.014980020265184774	-24.230399528153342	38.960833154917999	1005.2818686852893	0.90801865948917859
1	1	16.868024566993086	-0.016486286347670367	27.814503130704789	-267.73217970072329	-79.976191981491667	0.93633371945787858
1	2	21.282378456457828	-0.016165878691483185	14.6684737379315	-56.611236220623873	-586.0734924934784	0.96283387512664864
1	3	29.93178753428629	-0.016152489162777284	5.310453273984086	57.907679906880162	373.82294236231229	0.96509973090283963
1	4	291.02539727127652	-0.012060228949109054	-126.59676299394921	88.788822482185395	-310.57360856541629	0.9755012346115236
1	5	38.891318921671527	0.085102090245626066	-8.2485021369116289	87.46640183544865	140.73551043172753	0.97576705555355858
1	6	28.371242821685652	0.11414024783472998	77.89291242380699	-38.160159919580217	-261.89350044234698	0.97742056668414101
1	7	16.163934119823701	0.2228183892034985	-13.417970541287819	33.805478933774857	305.95382342475853	0.95515996520493585
1	8	-23.757661645020793	0.14605074593802286	31.482685888927353	78.15821817066842	-549.33504700177889	0.78359363498690138
1	9	-10.514022425494371	0.37094953957714782	-28.915540970356709	29.807660366556153	287.61849912682976	0.78717492236156106
2	0	16.525817080936974	-0.029422843845388465	163.09674101588203	89.091987228123728	581.08367167137339	0.95414098694533456
2	1	-14.257669771114415	-0.025325774488914387	15.750450098500329	85.773987557051285	-146.47034413929973	0.96626102245171142
2	2	111.12098798514455	-0.029700392042488817	-43.557539553793994	0.13985590635917045	-289.09865071707503	0.96784360925746182
2	3	35.310811064242102	-0.032583487258795188	85.380726817634311	-60.609043607828248	-480.62517237716781	0.94508491782830595
2	4	28.111346268769271	0.06800027431874113	-7.4362051207488182	91.17038768858923	274.43946664514203	0.94072123574402089
2	5	36.934920890414091	0.003456861413657572	9.9760357597457041	85.532917319046405	216.0867397421288	0.94676310034204414
2	6	17.400008632428449	0.21257157394374163	-13.708184533707419	59.297998854076958	333.53206576670613	0.936489454963507
2	7	35.618132537553876	0.16827151508888225	-19.39592304165846	75.137855802050439	713.78759448819744	0.87164603846865818
2	8	42.219347243642694	0.15580131765658001	496.31614762103186	82.926449568022775	1215.2813369022972	0.8038725165741254
2	9	42.049479483171154	0.12660748338323408	-53.381920591426422	12.603405739256459	702.28003190620188	0.77232726027646337
3	0	-95.199101162736184	-0.043140698207695644	57.260101614337628	59.262224722996642	-4.0742014518154841	0.96810899837167919
3	1	27.052757267655544	-0.022625638421827535	-4.9698282747460549	118.03578908029576	100.21903195079092	0.98293380624515436
3	2	-74.207399203753624	-0.058844496988551161	52.632221792058829	99.157047276464937	-133.20816903732847	0.97553925938421693
3	3	-73.056615194840433	-0.056995376194978173	56.43176749541049	56.066978878584393	-195.57827504862701	0.95619612172381119
3	4	-112.46254010403659	-0.0091194630020243663	75.978221372890701	165.59025906177646	-558.84722707549543	0.92185420415674957
3	5	59.036679477808221	0.072421057929583699	-13.281898947728054	-0.65429635747585912	562.60725693904305	0.89324898458217949
3	6	-6.4769026753119858	0.30191354698548606	-27.776505960305887	61.219276717003908	311.27241422909765	0.86197787388435487
3	7	28.94578367778924	0.15480587192055945	49.420441856308955	92.255408642462967	1100.0319024773553	0.84495522800986222
3	8	25.239990270396735	0.03152297496597798	19.744753895782207	116.89384344270259	111.24941162349437	0.96177617461521581
3	9	34.949319943767605	0.14582142258220807	-16.006919624451079	69.04950341714239	350.80515433717267	0.88082353307689731
4	0	20.87552390529595	-0.05451286712758549	437.85599883033927	159.04600708060187	484.22410008204395	0.96742456914289898
4	1	23.400933752759872	-0.066014673514695366	2.8953348151695901	49.884747078794497	290.72446396588316	0.98304505838915035
4	2	33.450762461212292	-0.073317455063661899	226.87854532962967	71.009757442282719	888.5046577292627	0.97523798347342316
4	3	33.275244961634762	0.039111775357508573	-16.383493923245023	20.123418481731523	239.09027356940592	0.95745632889356502
4	4	41.72484845649133	-0.078331062809817942	5.882561841164363	33.266615124864174	40.897450523956273	0.87417533888602783
4	5	37.744691526433037	0.091751534438453949	-15.045704503249171	45.526650008263516	248.75022896463486	0.93053240657293856
